business_id,name,rating,rating_bucket
aTuONbEHUx5BjyajRXWxcg,An Nyeong K Tofu & Bbq,4.6,High (4–5 stars)
iiHcYdhd1CeDJjFZVCtKgg,Buddy's Burger,4.3,High (4–5 stars)
A7M_2DiB8Xvj3NTs1RGfDg,Truluck's Ocean's Finest Seafood & Crab,4.3,High (4–5 stars)
G6_o1h3cm7ocJK-To1HWew,Pho Please,4.4,High (4–5 stars)
-jxEILUSqsWL0Oo7cQDfVg,Sazan Ramen,4.3,High (4–5 stars)
uwFa-pTQL1Rv4nULoIraNw,Ramen Tatsu-Ya,4.1,High (4–5 stars)
okamtsdTV_8ZgDbLtOSr9A,TLC Austin,4,High (4–5 stars)
INUWOG0fuuYwinCEA2BrHQ,Phoebe's Diner,4.6,High (4–5 stars)
T5UAsZOwDB6jc1X1AuiSaQ,VERDAD True Modern Mexican,4.2,High (4–5 stars)
Uav2xHxqZZxy4eblNB--PA,Fukumoto Sushi & Yakitori,4.3,High (4–5 stars)
ewoEi_2LXaCxjXyFEG7_4w,Tsuke Edomae,4.9,High (4–5 stars)
nJx3CI1grAFz1m9DO4CN-g,Komé,4.2,High (4–5 stars)
4-RkxDM200qfSG756uVmtQ,Péché,4,High (4–5 stars)
gghrK_T4ulGBgJPtn2cbiA,The Carillon,4.3,High (4–5 stars)
5fI9ZzqzRLnMNYoTMjUGGQ,Granny's Tacos,4.7,High (4–5 stars)
Z3Y4h9RmBB0jCHJC0CMXbg,Quince Lakehouse,4.4,High (4–5 stars)
taRtJ8b4eEBm5mdT09IqFA,De Nada Cantina,4.2,High (4–5 stars)
fTwvEZw8tvF73QxcX-5TdA,Mongers Market + Kitchen,4.2,High (4–5 stars)
skvuuJVurCYV6J9QcAC0SA,Il Brutto,4.2,High (4–5 stars)
08wLD2pUdZV73zHywMpREA,Musashino Sushi Dokoro,4.1,High (4–5 stars)
O31SAvOOjle_RLvRpHDdmg,Vince Young Steakhouse,3.9,Medium (3–4 stars)
pCNH6bRbyAR7vhaIKoFCxQ,Titaya's Thai Cuisine,4.2,High (4–5 stars)
bjzOuok1eXLceKaWWR-y7g,Mattie's,4.1,High (4–5 stars)
f6bsxIitCz6o2XgXeyYJLw,Olamaie,3.9,Medium (3–4 stars)
KYLDv6fOFhFMNvn-KGNrDg,Kismet Cafe,4.3,High (4–5 stars)
LoSheJfJ57sNedZj0GWO5A,Bar Peached,4.3,High (4–5 stars)
AsYbCd5d7TtIZEWIL5VhOw,Roaring Fork,4.1,High (4–5 stars)
mKX28z-6g-XoChGATQ6F9Q,Khon Thai Kitchen By Seeda,4.4,High (4–5 stars)
u5XqU3ys3nXd1Ee0XYKLWg,Foreign & Domestic,3.8,Medium (3–4 stars)
CLcRsv9px0tbBkPkRN5qBQ,Otoko,4.5,High (4–5 stars)
O9kPl8Rd3SY3rjq4znpvKA,Nightcap,4,High (4–5 stars)
tmvswVDr4n56EjWq_RptBA,Gusto Italian Kitchen & Wine Bar,3.9,Medium (3–4 stars)
M6_Jp6Xcf2z-j_Ay_GiHtA,Jack Allen's Kitchen Anderson Lane,4.3,High (4–5 stars)
sjgbSELDpzaabRe8bZwUbw,Micklethwait Craft Meats,4.5,High (4–5 stars)
gKREdIgb5vB844iOtbzqBA,Pinthouse Pizza,4.5,High (4–5 stars)
