business_id,name,rating,review_count,momentum_score
3gYruqSQnMtCmF2DiXcEOQ,Vespaio Ristorante,4.1,799,27.4069080834385
TxJxKvTD_vjpUAwW54h1EQ,Hi Wings,4.6,382,27.360960950230968
skvuuJVurCYV6J9QcAC0SA,Il Brutto,4.2,664,27.299105570754588
-jxEILUSqsWL0Oo7cQDfVg,Sazan Ramen,4.3,546,27.10912985041452
pS_RoFsMCMFvoFMSSCJR9w,Salt Traders Zilker,4.3,539,27.053747300100778
iuy7Wk41ZlSzk2DhNv0ymQ,TenTen,4.3,538,27.04577695490869
vwwG4ZL46BBXeZMdrhi8PQ,Eberly,4,834,26.90972689940342
lVLUITyRS9M0_P5POGnHPw,Soupleaf Hot Pot,4.5,392,26.882143253411677
M6_Jp6Xcf2z-j_Ay_GiHtA,Jack Allen's Kitchen Anderson Lane,4.3,511,26.824795887669882
taRtJ8b4eEBm5mdT09IqFA,De Nada Cantina,4.2,592,26.81781647579045
mbNRIX5ROAzeDAmCVM_xzg,Via 313 Pizza,4.2,589,26.796514654979013
pSOf1v4Wcnxe09ErQmOtJw,Ember Kitchen,4.6,336,26.77238147962086
bQbO4RPTcS50EzoLx2Y2QQ,Sugar Pine,4.4,433,26.721395950041785
KYLDv6fOFhFMNvn-KGNrDg,Kismet Cafe,4.3,476,26.52032091081987
mHHPfCZGRp4BQe_QvVno7g,Juliet Italian Kitchen,3.8,1052,26.445714346109106
4h-O6wPWswMbVowT_lYn9g,Tiki Tatsu-Ya,4.2,541,26.440117206046516
LA5QhXzorbHpjY6pjHmHSA,Two Hands,4.2,538,26.41680539781779
N20Ind9AWLbsCFFxtR_URQ,Gino's Vino Osteria,4.3,458,26.354915903260345
yM7ZbF-hY2r-MO8PMSLB9w,Sushi Junai Omakase,4.4,386,26.217068649331043
kCdONcIH6Fz5Gz3TmBWdTw,Garrison,4.6,296,26.19116783849242
PXDwg6vXCzmpqnht6qmAnw,North Italia,3.9,817,26.15676311275071
xyvGNML9BW-3seLMqeYCWA,Colleen's Kitchen,4,683,26.1118316704902
u5XqU3ys3nXd1Ee0XYKLWg,Foreign & Domestic,3.8,944,26.034502724476223
Bz-NZ-2Dx6pztO0nvfD3JA,Nori,4.6,285,26.01756232977132
fTwvEZw8tvF73QxcX-5TdA,Mongers Market + Kitchen,4.2,488,26.007922455794464
hveKjJmiPTcUS4sKuvZBYg,Jeffrey's,4.1,565,25.98823572063305
feNjLEC9gZ5QdPlQ05SDwQ,Hestia,4.3,419,25.97309525849288
FVANupKYOw0gcAF7J6bebQ,House of Three Gorges,4.4,363,25.94747701760166
O31SAvOOjle_RLvRpHDdmg,Vince Young Steakhouse,3.9,773,25.941130306999938
2vppZx0rTDZtCzw-NljdRQ,The Capital Grille,4.2,464,25.796557103466895
TSKMu1M0HAFoPvCZuJxx1w,Comedor,4.1,528,25.711052570619024
TKEmPN45epfqtNQq6wY8Dg,ALC Steaks,3.9,719,25.659079726839394
okamtsdTV_8ZgDbLtOSr9A,TLC Austin,4,609,25.65383582866943
Y6tpEFutDG3a-DHu2cJ7LQ,Jacoby's Restaurant & Mercantile,3.8,840,25.591448307897203
ZYtgu8IWHoAiO56vvxsiqg,L'Oca d'Oro,4,584,25.486447388927427
7kJab3nyBrRTfMMZMlgiSg,Este,4.3,368,25.416425569374265
v87I5i4XxiCr9Ihiqkbc4A,The Grove Wine Bar & Kitchen,3.9,673,25.401597432557995
VLkKyk6RA6Tn02YQjyILIw,District Kitchen - Anderson Lane,4.3,364,25.369558620404714
Gzi27rYJ2RegyRY_KqtloA,Bamboo House Austin,4.3,360,25.322175220831387
RUs0hG72w5xa76-10ZhSXA,June's,4,557,25.297435849525243
_dX5kPHrplgQOpk1hBE7mg,Simar Seafood  Cocina,4.5,273,25.259076478746316
DSQCRlBZ_oy4kyTzqDfb9w,Dean's Italian Steakhouse,4.4,310,25.255088813588632
2YSJoXu7pUe_BT5XqbPz4Q,Nomade,4.4,309,25.24091810890845
wKQNqpvphl0zGCv9JuIN8Q,J Carver’s,4.5,271,25.22610929833199
gghrK_T4ulGBgJPtn2cbiA,The Carillon,4.3,348,25.176809265470435
f6bsxIitCz6o2XgXeyYJLw,Olamaie,3.9,628,25.13211190113172
6e3UQmbqFLGWWDCI5VczCA,Hopfields,3.9,620,25.082191219540565
bjzOuok1eXLceKaWWR-y7g,Mattie's,4.1,449,25.047915089333898
IqNExVdP8Mr8GQa8OgozcA,Honey Moon Spirit Lounge,4.4,295,25.037581599025867
gaDwde0ErnE4OJVLAuAUpw,Nido,4.2,381,24.970766556147616
dOQPeXu27YmjYFfV5tX-Zg,Bulevar Mexican Kitchen,4.2,380,24.959757375532146
ZNwznJunPKKLyc-YSAbCcw,Mandala Kitchen & Bar,4.3,329,24.93609841418026
SzMqKnNn32pbsdrsBkQhfQ,Veracruz Fonda & Bar,4.3,326,24.89682873485819
6oIKOIJmrSxv1MjVzg_hXQ,The Peacock,4.1,416,24.735653509375084
I6OrRuUmbIYoVRevwlUTrg,J Prime Steakhouse - Austin,4.5,240,24.681586200707947
4mtF2og-yXj7GbGgJNxq0w,Corinne Austin,4.1,406,24.636134060314635
shFV63u-qAkHNfz3ZG4sIw,Tumble 22,4.1,403,24.605800999640714
tmvswVDr4n56EjWq_RptBA,Gusto Italian Kitchen & Wine Bar,3.9,532,24.48623355424679
6cpyParNNfo2c0XFm4caVA,Old Thousand,3.9,530,24.47157188284356
P5nJYSMnGj1tczv_PkNhyw,5280 Burger & Taphouse,4.3,287,24.350730064584567
4JNsfaP4ILEuzidhbPgvRQ,Patrizi's,4.5,221,24.312048218425257
Fuv7Apt32H5_ihp0qDEbAg,Arlo Grey by Kristen Kish,3.9,494,24.197775274017893
-JqrUI1y8jaUQma7t2ShUA,Revelry Kitchen + Bar,4.2,316,24.18738745028458
U1ti23Ir3tF5kg28rCBGDw,Neighborhood Sushi,4.2,313,24.147450540814663
tSUDZZ95ky1xiPXBGG6s1g,Uchibā Austin,4.4,230,23.946637926295892
ODKhTnArDrUsuqIlKNd2_g,Bikkle Jamaican Restaurant,4.5,202,23.909426905688044
aTvusfYoXUQ6Nem2-Vp4Zw,Ezov,4.4,227,23.889120767399543
aTuONbEHUx5BjyajRXWxcg,An Nyeong K Tofu & Bbq,4.6,177,23.836204331343588
DzrgzDDKSpACYWW3yKSt7A,Oseyo,3.8,499,23.615510774004328
XzMq2IRnVCloPe55VhFJMw,Sixty Vines,4.5,188,23.587861567768392
O9kPl8Rd3SY3rjq4znpvKA,Nightcap,4,356,23.510943127118555
YwdNk5vD1gi6VttNucMDbA,sway thai,3.8,478,23.452462270161476
YrReCTKKKRBEDMwFqcftsA,La Piscina,4.3,228,23.36500461528323
0Tjiph2juRLnj74gDix18A,Arriba Abajo,4.3,226,23.327285075170032
KQds0wAC6UBUxCBpRqVDHg,Apt 115,4.8,128,23.327099540936025
kbFl5B33CiSS3bSNULdjfw,The Guest House Austin,4.1,291,23.274690589299954
Arkwh6sIktiIjimtIiONXg,Lutie’s,4.2,252,23.240235852655587
2EnKNyqXVTAsG5V9VJNxxg,Tiny Boxwoods,3.9,385,23.22776574091284
CLcRsv9px0tbBkPkRN5qBQ,Otoko,4.5,167,23.057837907314664
fszy3S_lTDUt32f9gb2-pg,Carpenters Hall,4.2,223,22.728913417791166
mKX28z-6g-XoChGATQ6F9Q,Khon Thai Kitchen By Seeda,4.4,171,22.648975697979193
Qr6F7HEGMq8U-TmWrqDxtA,El Raval,4.3,185,22.470710696966766
190HyYQqSvzNccWArwFklg,Yamas Greek Kitchen + Bar,3.8,360,22.377736241664945
4T4iO_t5iz6SbHrphY2fGA,CARVE American Grille - Central Austin,4.1,224,22.20601164903812
O39mniGKRun7UrA1PEkUxg,Murray's Tavern,4.4,151,22.105074291723618
w4W4RMx3BkDWQ9IagXAGSg,Lefty's Brick Bar,4.3,166,22.007373393392047
ewoEi_2LXaCxjXyFEG7_4w,Tsuke Edomae,4.9,86,21.88294978140746
r7m-V0drTnK9o2Mg1FcxAQ,Gràcia Mediterranean,4.6,111,21.70509480795743
CQZfOv-D3tylQWJicrUkUg,Craft Omakase,4.9,81,21.592924311594842
T5UAsZOwDB6jc1X1AuiSaQ,VERDAD True Modern Mexican,4.2,157,21.262899138713262
ooRIabaNiaKtpEeEsIpTkw,Postino Bryker Woods,4.7,78,20.536404906595003
7LF9LnQ0LPsMAzVRPhFzMw,Gina's on Congress,4.4,91,19.89586973901578
i_2XxgXPFjVxkXRnHjtu-A,Fig Italian Kitchen & Bar,4.3,93,19.536167563761015
